코드 번호	회사명	업종 (대)	코드 번호	코드 번호
A017940	E1	석유 및 가스	KS	17940
A067170	오텍	기계	KQ	67170
A322180	티라유텍	IT서비스	KQ	322180
A035200	프럼파스트	건설 및 건축자재	KQ	35200
A012700	리드코프	금융	KQ	12700
A123010	폴라리스웍스	반도체 관련장비 및 부품	KQ	123010
A225190	삼양옵틱스	IT 장비 및 소재	KQ	225190
A049080	기가레인	IT 장비 및 소재	KQ	49080
A049180	셀루메드	의료기기 및 용품	KQ	49180
A134580	탑코미디어	가정용품	KQ	134580
A050110	캠시스	IT 장비 및 소재	KQ	50110
A044340	위닉스	가정용품	KQ	44340
A361570	알비더블유	미디어 및 엔터	KQ	361570
A072130	유엔젤	IT서비스	KS	72130
A045100	한양이엔지	반도체 관련장비 및 부품	KQ	45100
A024900	덕양산업	자동차 및 관련부품	KS	24900
A047770	코데즈컴바인	섬유 및 의류	KQ	47770
A002690	동일제강	철강 및 비철강	KS	2690
A023440	제일제강	철강 및 비철강	KQ	23440
A099190	아이센스	의료기기 및 용품	KQ	99190
A008600	윌비스	섬유 및 의류	KS	8600
A013310	아진산업	자동차 및 관련부품	KQ	13310
A032190	다우데이타	IT서비스	KQ	32190
A277410	인산가	식음료	KQ	277410
A100250	진양홀딩스	지주사	KS	100250
A263720	디앤씨미디어	미디어 및 엔터	KQ	263720
A138250	엔에스쇼핑	유통	KS	138250
A263700	케어랩스	의료기기 및 용품	KQ	263700
A003070	코오롱글로벌	건설 및 건축자재	KS	3070
A139050	시티랩스	운송 및 물류	KQ	139050
A293940	신한알파리츠	일반서비스	KS	293940
A195990	에이비프로바이오	기계	KQ	195990
A004380	삼익THK	기계	KS	4380
A170900	동아에스티	제약 및 바이오	KS	170900
A187420	제노포커스	제약 및 바이오	KQ	187420
A255440	야스	디스플레이 장비 및 부품	KQ	255440
A000400	롯데손해보험	금융	KS	400
A089790	제이티	반도체 관련장비 및 부품	KQ	89790
A263020	디케이앤디	섬유 및 의류	KQ	263020
A174900	앱클론	제약 및 바이오	KQ	174900
A095720	웅진씽크빅	일반서비스	KS	95720
A321260	프로이천	반도체 관련장비 및 부품	KQ	321260
A220100	퓨쳐켐	제약 및 바이오	KQ	220100
A357120	코람코에너지리츠	일반서비스	KS	357120
A083310	엘오티베큠	반도체 관련장비 및 부품	KQ	83310
A067920	이글루시큐리티	IT서비스	KQ	67920
A001290	상상인증권	금융	KS	1290
A214390	경보제약	제약 및 바이오	KS	214390
A044380	주연테크	가정용품	KS	44380
A369370	블리츠웨이	레저산업	KQ	369370
A093050	LF	섬유 및 의류	KS	93050
A023770	플레이위드	미디어 및 엔터	KQ	23770
A034810	해성산업	일반서비스	KQ	34810
A007330	푸른저축은행	금융	KQ	7330
A001340	백광산업	화학	KS	1340
A122450	KMH	레저산업	KQ	122450
A002350	넥센타이어	자동차 및 관련부품	KS	2350
A054090	삼진엘앤디	디스플레이 장비 및 부품	KQ	54090
A253590	네오셈	반도체 관련장비 및 부품	KQ	253590
A000240	한국앤컴퍼니	자동차 및 관련부품	KS	240
A281820	케이씨텍	반도체 관련장비 및 부품	KS	281820
A184230	SGA솔루션즈	IT서비스	KQ	184230
A053270	구영테크	자동차 및 관련부품	KQ	53270
A339770	교촌에프앤비	식음료	KS	339770
A138610	나이벡	의료기기 및 용품	KQ	138610
A230980	에이트원	IT서비스	KQ	230980
A225220	제놀루션	의료기기 및 용품	KQ	225220
A119860	다나와	유통	KQ	119860
A024810	이화전기	기계	KQ	24810
A143240	사람인에이치알	IT서비스	KQ	143240
A005180	빙그레	식음료	KS	5180
A101330	모베이스	IT 장비 및 소재	KQ	101330
A004650	창해에탄올	식음료	KQ	4650
A263050	유틸렉스	제약 및 바이오	KQ	263050
A105330	케이엔더블유	자동차 및 관련부품	KQ	105330
A081000	일진다이아	철강 및 비철강	KS	81000
A131400	이브이첨단소재	IT 장비 및 소재	KQ	131400
A357230	에이치피오	식음료	KQ	357230
A138580	비즈니스온	IT서비스	KQ	138580
A057050	현대홈쇼핑	유통	KS	57050
A012790	신일제약	제약 및 바이오	KQ	12790
A052300	초록뱀컴퍼니	운송 및 물류	KQ	52300
A065370	위세아이텍	IT서비스	KQ	65370
A108230	톱텍	디스플레이 장비 및 부품	KQ	108230
A016580	환인제약	제약 및 바이오	KS	16580
A084730	팅크웨어	자동차 및 관련부품	KQ	84730
A168330	내츄럴엔도텍	제약 및 바이오	KQ	168330
A037370	EG	반도체 관련장비 및 부품	KQ	37370
A189330	씨이랩	IT서비스	KQ	189330
A290090	트윔	반도체 관련장비 및 부품	KQ	290090
A377220	프롬바이오	제약 및 바이오	KQ	377220
A007110	일신석재	건설 및 건축자재	KS	7110
A153460	네이블	IT서비스	KQ	153460
A294140	레몬	화학	KQ	294140
A023160	태광	기계	KQ	23160
A017550	수산중공업	기계	KS	17550
A016600	큐캐피탈	금융	KQ	16600
A043220	에이치엘비파워	석유 및 가스	KQ	43220
A096350	대창솔루션	조선	KQ	96350
A082850	우리바이오	전기 및 전자기기	KQ	82850
A078860	아이오케이	IT서비스	KQ	78860
A050090	휘닉스소재	IT 장비 및 소재	KQ	50090
A208340	파멥신	제약 및 바이오	KQ	208340
A029960	코엔텍	일반서비스	KQ	29960
A257720	실리콘투	유통	KQ	257720
A002990	금호건설	건설 및 건축자재	KS	2990
A001800	오리온홀딩스	지주사	KS	1800
A017810	풀무원	식음료	KS	17810
A042040	케이피엠테크	IT 장비 및 소재	KQ	42040
A024720	한국콜마홀딩스	지주사	KS	24720
A013030	하이록코리아	기계	KQ	13030
